data_prev,Tx_Mod,P90cl_Tx_Mod,Tx_Obs,P90cl_Tx_Obs,OC_Mod_Candid,IOC_Mod,OC_Obs_Candid,IOC_Obs
20221118,28.97653,31.21523,25.27725,32.42886,0,0,0,0
20221119,29.03934,31.21746,25.6329,30.48514,0,0,0,0
20221120,30.11398,30.502,27.72415,30.51505,0,0,0,0
20221121,28.48026,29.38523,29.18778,30.41208,0,0,0,0
20221122,27.42767,31.82162,29.89426,32.47794,0,0,0,0
20221123,33.0195,32.28058,30.16318,30.41776,1,0,0,0
20221124,30.60684,31.33324,25.64981,26.7998,0,0,0,0
20221125,26.52441,29.71567,25.69604,29.03455,0,0,0,0
20221126,23.95853,28.50792,25.70084,29.98764,0,0,0,0
20221127,23.63156,31.3216,26.33365,29.71011,0,0,0,0
20221128,23.16672,31.45726,26.49286,30.43436,0,0,0,0
20221129,23.6478,32.74563,27.7641,30.60831,0,0,0,0
20221130,28.44678,31.71116,27.85306,30.54123,0,0,0,0
20231101,35.85953,33.4183,25.77786,29.93808,1,1,0,0
20231102,31.44449,31.44449,25.17676,29.56668,1,1,0,0
20231103,31.84183,31.84183,31.01016,31.04578,1,1,0,0
20231104,31.48135,31.14221,25.76388,31.09802,1,1,0,0
20231105,30.29105,30.55637,25.1459,29.25061,0,0,0,0
20231106,32.20444,29.3045,24.52847,26.00964,1,0,0,0
20231107,30.82645,30.82645,24.93695,27.4968,1,0,0,0
20231108,29.44546,31.51755,28.68063,28.68063,0,0,1,0
20231109,30.35251,30.35251,32.98959,29.55286,1,0,1,0
20231110,31.38004,30.67996,28.8013,30.86642,1,0,0,0
20231101,28.19183,33.47324,25.77786,29.93808,0,0,0,0
20231102,29.60165,31.72999,25.17676,29.56668,0,0,0,0
20231103,28.15128,29.47561,31.01016,31.04578,0,0,0,0
20231104,26.57767,28.64292,25.76388,31.09802,0,0,0,0
20231105,27.5499,29.11224,25.1459,29.25061,0,0,0,0
20231106,32.38785,34.33541,24.52847,26.00964,0,0,0,0
20231107,33.57193,32.3113,24.93695,27.4968,1,0,0,0
20231108,29.49051,30.50456,28.68063,28.68063,0,0,1,0
20231109,32.72061,30.7088,32.98959,29.55286,1,0,1,0
20231110,26.23325,30.47737,28.8013,30.86642,0,0,0,0
20231120,25.5365,30.502,24.91678,30.51505,0,0,0,0
20231121,24.63098,29.38523,29.22922,30.41208,0,0,0,0
20231122,24.5343,31.82162,33.2482,32.47794,0,0,1,0
20231123,28.88971,32.28058,31.71185,30.41776,0,0,1,0
20231124,31.37558,31.33324,25.95166,26.7998,1,0,0,0
20231125,32.70755,29.71567,25.17966,29.03455,1,0,0,0
20231126,27.02643,28.50792,25.6304,29.98764,0,0,0,0
20231127,30.20328,31.3216,27.77002,29.71011,0,0,0,0
20231128,30.92252,31.45726,30.23868,30.43436,0,0,0,0
20231129,29.13434,32.74563,28.8501,30.60831,0,0,0,0
20231130,27.95792,31.71116,30.54123,30.54123,0,0,1,0
